StockName,TotalWeight,AvgWeight,ETF_Count,Rank
삼성전자,385.79,20.304737,19,1
SK하이닉스,312.97,15.6485,20,2
현대차,77.54,4.84625,16,3
SK스퀘어,67.03,5.1561537,13,4
현대모비스,36.29,2.7915385,13,5
기아,27.61,2.51,11,6
KB금융,26.42,2.4018183,11,7
한화에어로스페이스,23.130001,2.3130002,10,8
두산,22.09,1.6992308,13,9
원화현금,21.92,1.2177777,18,10
미래에셋증권,20.630001,2.0630002,10,11
하나금융지주,19.89,1.989,10,12
삼성전기,19.6,1.96,10,13
NAVER,18.52,2.057778,9,14
신한지주,17.86,1.786,10,15
LS ELECTRIC,17.75,1.6136364,11,16
효성중공업,16.29,1.8100001,9,17
삼성SDI,16.22,1.8022221,9,18
우리금융지주,16.01,1.778889,9,19
LG전자,15.820001,1.7577778,9,20
두산에너빌리티,15.47,2.21,7,21
HD현대일렉트릭,14.28,1.5866666,9,22
카카오,13.88,1.9828571,7,23
삼성바이오로직스,12.59,1.7985715,7,24
셀트리온,12.469999,1.7814285,7,25
한국전력,12.01,1.7157143,7,26
레인보우로보틱스,11.8,3.9333334,3,27
한화솔루션,11.79,1.47375,8,28
현대오토에버,11.72,1.465,8,29
한국항공우주,11.64,1.455,8,30
브이엠,11.32,3.7733333,3,31
현대로템,11.309999,1.2566667,9,32
마이티 200TR,10.73,10.73,1,33
피에스케이,10.67,2.134,5,34
삼성물산,10.67,1.33375,8,35
에스피지,9.68,2.42,4,36
이오테크닉스,9.639999,3.2133331,3,37
한미약품,9.62,1.2025,8,38
유진테크,9.33,3.11,3,39
한화,9.190001,1.3128573,7,40
한국금융지주,9.1,1.1375,8,41
LG화학,8.83,1.2614286,7,42
HD현대중공업,8.32,1.1885713,7,43
SK텔레콤,8.07,0.89666665,9,44
현대글로비스,7.97,0.8855555,9,45
키움증권,7.8999996,0.98749995,8,46
LG에너지솔루션,7.87,1.1242857,7,47
고려아연,7.75,0.96875,8,48
S-Oil,7.58,0.9475,8,49
SK,7.49,0.8322222,9,50
한화투자증권,7.08,2.36,3,51
HD현대,6.9199996,0.86499995,8,52
삼성생명,6.91,0.86375,8,53
피에스케이홀딩스,6.67,3.335,2,54
리노공업,6.67,1.334,5,55
로보티즈,6.61,6.61,1,56
HD건설기계,6.6,1.3199999,5,57
POSCO홀딩스,6.07,0.86714286,7,58
원익IPS,6.0,2.0,3,59
KT,5.91,0.73875,8,60
비에이치아이,5.86,5.86,1,61
디아이,5.71,1.9033333,3,62
두산로보틱스,5.5099998,1.8366666,3,63
덕산하이메탈,5.43,2.715,2,64
대덕전자,5.3,1.7666668,3,65
HD한국조선해양,5.18,0.8633333,6,66
이수스페셜티케미컬,5.17,1.2925,4,67
LG이노텍,5.1099997,0.63874996,8,68
샘씨엔에스,5.09,2.545,2,69
에스엘,4.85,0.69285715,7,70
이수페타시스,4.83,0.69,7,71
삼양식품,4.77,0.68142855,7,72
삼성에스디에스,4.65,0.58125,8,73
메리츠금융지주,4.6499996,0.66428566,7,74
티씨케이,4.58,4.58,1,75
KT&G,4.55,0.65000004,7,76
티에스이,4.37,2.185,2,77
삼성증권,4.32,0.61714286,7,78
뉴로메카,4.27,4.27,1,79
산일전기,4.26,0.71000004,6,80
기가비스,4.15,4.15,1,81
NH투자증권,4.13,0.59000003,7,82
삼성화재,4.08,0.58285713,7,83
오킨스전자,3.99,3.99,1,84
현대건설,3.98,0.66333336,6,85
